ticker,exchange_code,exchange_name_ko,name_ko,name_en,market_type_code
AQN,NYS,뉴욕,알곤퀸 파워 앤드 유틸리티스,ALGONQUIN POWER & UTILITIES CORP,2
AQNB,NYS,뉴욕,알곤퀸 파워 앤드 유틸리티스 후순위채권(2021-06-25 6.200%),ALGONQUIN POWER & UTILITIES CORP 6.2% SUB NT FIX/FLT 201,2
AR,NYS,뉴욕,앤테로 리소시스,ANTERO RESOURCES CORPORATION,2
ARCO,NYS,뉴욕,아르코스 도라도스 홀딩스,ARCOS DORADOS HOLDINGS INC,2
ARDC,NYS,뉴욕,ARES DYNAMIC CREDIT ALLOCATION,ARES DYNAMIC CR ALLOCATION FD INC,3
ARDT,NYS,뉴욕,아던트 헬스,ARDENT HEALTH INC,2
ARE,NYS,뉴욕,알렉산드리아 리얼 에스테이트 에퀴티스,ALEXANDRIA REAL ESTATE EQUITIES,2
ARES,NYS,뉴욕,아레스 매니지먼트,ARES MANAGEMENT CORPORATION,2
ARES/B,NYS,뉴욕,아레스 매니지먼트 우선주 B(6.750% 의무전환),ARES MANAGEMENT CORPORATION 6.75% MAN PFD CONV SER B,2
ARI,NYS,뉴욕,아폴로 커머셜 리얼에스테이트 파이낸스,APOLLO COMMERCIAL RL ESTATE FIN INC,2
ARIS,NYS,뉴욕,아리스 워터 솔루션스,ARIS MINING CORPORATION,2
ARL,NYS,뉴욕,아메리칸 리얼티 인베스터스,AMERICAN REALTY INVESTORS INC,2
ARLO,NYS,뉴욕,아를로 테크놀로지스,ARLO TECHNOLOGIES INC,2
ARMK,NYS,뉴욕,아라마크,ARAMARK,2
AROC,NYS,뉴욕,아크록,ARCHROCK INC,2
ARR,NYS,뉴욕,아머 레지덴셜 리츠,ARMOUR RESIDENTIAL REIT INC,2
ARR/C,NYS,뉴욕,아머 레지덴셜 리츠 우선주 C(7.000% 누적 상환),ARMOUR RESIDENTIAL REIT INC 7.00% CUM RED PFD STK SER C,2
ARW,NYS,뉴욕,애로우 일렉트로닉스,ARROW ELECTRONICS INC,2
ARX,NYS,뉴욕,엑셀러런트 홀딩스,ACCELERANT HOLDINGS,2
AS,NYS,뉴욕,아머 스포츠,AMER SPORTS INC,2
ASA,NYS,뉴욕,ASA GOLD AND PRECIOUS METALS LIMITED,ASA GOLD AND PRECIOUS METALS LIMITE,3
ASAN,NYS,뉴욕,아사나,ASANA INC,2
ASB,NYS,뉴욕,어소시에이티드 뱅크코프,ASSOCIATED BANC-CORP,2
ASB/E,NYS,뉴욕,어소시에이티드 뱅크코프 우선주 E(5.875%),ASSOCIATED BANC-CORP 5.875%NON CUM DEP REP 1/40TH INT SER E,2
ASB/F,NYS,뉴욕,어소시에이티드 뱅크코프 우선주 F(5.625%),ASSOCIATED BANC-CORP 5.625% DEP SHS REP 1/40TH NON CU PF SR,2
ASC,NYS,뉴욕,아드모어 시핑,ARDMORE SHIPPING CORP,2
ASG,NYS,뉴욕,LIBERTY ALL STAR GROWTH,LIBERTY ALL STAR GROWTH FUND,3
ASGI,NYS,뉴욕,ABERDEEN STANDARD GLOBAL INFRA,ABRDN GLOBAL INFRASTRUCTURE INCM FD,3
ASH,NYS,뉴욕,애시랜드,ASHLAND INC,2
ASIC,NYS,뉴욕,어테그리티 스페셜티 홀딩스,ATEGRITY SPECIALTY HOLDINGS,2
ASIX,NYS,뉴욕,어드밴식스,ADVANSIX INC,2
ASPN,NYS,뉴욕,애스펀 에어로젤,ASPEN AEROGELS INC,2
ASR,NYS,뉴욕,그루포 아에로포르투아리오 델 수레스테(ADR),GPO AEROPORTUARIO DEL SURESTE SAB ADS EACH REPR 10 SER B  SH,2
ASX,NYS,뉴욕,ASE 테크놀로지 홀딩(ADR),ASE TECHNOLOGY HOLDING CO LTD SPON ADS EACH REP 2 ORD SHS,2
ATEN,NYS,뉴욕,A10 네트웍스,A10 NETWORKS INC,2
ATH/A,NYS,뉴욕,아테네 홀딩 우선주 A(6.350% 상환),ATHENE HOLDING LTD 6.35%DEP 1/1000TH PERP NON CUM PFD SER A,2
ATH/B,NYS,뉴욕,아테네 홀딩 우선주 B(5.625% 상환),ATHENE HOLDING LTD 5.625%DEP REP 1/1000TH NONCUM PERP SR B,2
ATH/D,NYS,뉴욕,아테네 홀딩 우선주 D(4.875% 상환),ATHENE HOLDING LTD 4.875% DEP SHS RP 1/1000TH NON CUM SR D,2
ATH/E,NYS,뉴욕,아테네 홀딩 우선주 E(7.750%),ATHENE HOLDING LTD DEP SHS REP 1/1000TH INT FXD RESET PERP,2
ATHM,NYS,뉴욕,오토홈(ADR),AUTOHOME INC SPON ADS EACH REP 4 ORD SHS CL A,2
ATHS,NYS,뉴욕,아테네 홀딩 후순위채권(7.250%),ATHENE HOLDING LTD 7.250% FXD RATE RST JR SUB DEB DUE 2064,2
ATI,NYS,뉴욕,ATI,ATI INC,2
ATKR,NYS,뉴욕,앳코어,ATKORE INC,2
ATMU,NYS,뉴욕,애트머스 필트레이션 테크놀로지스,ATMUS FILTRATION TECHNOLOGIES INC,2
ATO,NYS,뉴욕,애트모스 에너지,ATMOS ENERGY CORP,2
ATR,NYS,뉴욕,앱타그룹,APTARGROUP INC,2
ATS,NYS,뉴욕,ATS 코퍼레이션,ATS CORPORATION (CANADA),2
AU,NYS,뉴욕,앵글로골드 아샨티,ANGLOGOLD ASHANTI PLC ORD USD1,2
AUB,NYS,뉴욕,애틀랜틱 유니언 뱅크셰어스,ATLANTIC UNION BANKSHARES CORP,2
AUB/A,NYS,뉴욕,애틀랜틱 유니언 뱅크셰어스 우선주(6.875%),ATLANTIC UNION BANKSHARES CORP 6.875% DEP SH RP 1/400 NON CU,2
AUNA,NYS,뉴욕,아우나,AUNA S A,2
AVA,NYS,뉴욕,아비스타,AVISTA CORP,2
AVAL,NYS,뉴욕,그루포 아발 악시오네스 이 발로레스(ADR),GRUPO AVAL ACCIONES Y VALORES SA SPON ADS EACH REPR 20 PREFE,2
AVB,NYS,뉴욕,아발론베이 커뮤니티스,AVALONBAY COMMUNITIES INC,2
AVBC,NYS,뉴욕,어비디아 뱅코프,AVIDIA BANCORP INC,2
AVD,NYS,뉴욕,아메리칸 뱅가드,AMERICAN VANGUARD CORP,2
AVEX,NYS,뉴욕,에이벡스,AEVEX CORPORATION,2
AVK,NYS,뉴욕,ADVENT CONVERTIBLE & INCOME,ADVENT CONVERTIBLE AND INCOME FUND,3
AVNS,NYS,뉴욕,아바노스 메디컬,AVANOS MEDICAL INC,2
AVNT,NYS,뉴욕,애비엔트,AVIENT CORPORATION,2
AVTR,NYS,뉴욕,어밴터,AVANTOR INC,2
AVY,NYS,뉴욕,에이버리 데니슨,AVERY DENNISON CORP,2
AWF,NYS,뉴욕,ALLIANCEBERNSTEIN GLOBAL HIGH INCOME,ALLIANCEBERNSTEIN GLOBAL HGH INCOME,3
AWI,NYS,뉴욕,암스트롱 월드 인더스트리스,ARMSTRONG WORLD INDUSTRIES INC,2
AWK,NYS,뉴욕,아메리칸 워터 웍스,AMERICAN WATER WORKS COMPANY INC,2
AWP,NYS,뉴욕,ABERDEEN GLOBAL PREMIER PROPERTY,ABRDN GLOBAL PREMIER PROPERTIES FD,3
AWR,NYS,뉴욕,아메리칸 스테이츠 워터,AMERICAN STATES WATER CO,2
AX,NYS,뉴욕,액소스 파이낸셜,AXOS FINANCIAL INC,2
AXIA,NYS,뉴욕,악시아 에네르지아 스폰서드 ADR,AXIA ENERGIA SA ADR-EACH REPR 1 COM SHS NPV,2
